id,Label,Annotated Positive Document,Correct Annotated Positive Document,Annotated Negative Document,Correct Annotated Negative Document,summary,Document
0,,,,,,"We propose an architecture for VQA which utilizes recurrent layers togenerate visual and textual attention. The memory characteristic of theproposed recurrent attention units offers a rich joint embedding of visual andtextual features and enables the model to reason relations between severalparts of the image and question. Our single model outperforms the first placewinner on the VQA 1.0 dataset, performs within margin to the currentstate-of-the-art ensemble model. We also experiment with replacing attentionmechanisms in other state-of-the-art models with our implementation and showincreased accuracy. In both cases, our recurrent attention mechanism improvesperformance in tasks requiring sequential or relational reasoning on the VQAdataset.",Dual Recurrent Attention Units for Visual Question Answering
1,,,,,,"Recent approaches based on artificial neural networks (ANNs) have shownpromising results for short-text classification. However, many short textsoccur in sequences (e.g., sentences in a document or utterances in a dialog),and most existing ANN-based systems do not leverage the preceding short textswhen classifying a subsequent one. In this work, we present a model based onrecurrent neural networks and convolutional neural networks that incorporatesthe preceding short texts. Our model achieves state-of-the-art results on threedifferent datasets for dialog act prediction.",Sequential Short-Text Classification with Recurrent and Convolutional  Neural Networks
2,Nuclear,,Nuclear,,,"We introduce the multiresolution recurrent neural network, which extends thesequence-to-sequence framework to model natural language generation as twoparallel discrete stochastic processes: a sequence of high-level coarse tokens,and a sequence of natural language tokens. There are many ways to estimate orlearn the high-level coarse tokens, but we argue that a simple extractionprocedure is sufficient to capture a wealth of high-level discourse semantics.Such procedure allows training the multiresolution recurrent neural network bymaximizing the exact joint log-likelihood over both sequences. In contrast tothe standard log- likelihood objective w.r.t. natural language tokens (wordperplexity), optimizing the joint log-likelihood biases the model towardsmodeling high-level abstractions. We apply the proposed model to the task ofdialogue response generation in two challenging domains: the Ubuntu technicalsupport domain, and Twitter conversations. On Ubuntu, the model outperformscompeting approaches by a substantial margin, achieving state-of-the-artresults according to both automatic evaluation metrics and a human evaluationstudy. On Twitter, the model appears to generate more relevant and on-topicresponses according to automatic evaluation metrics. Finally, our experimentsdemonstrate that the proposed model is more adept at overcoming the sparsity ofnatural language and is better able to capture long-term structure.",Multiresolution Recurrent Neural Networks: An Application to Dialogue  Response Generation
3,Physics,Physics,,,,"Multi-task learning is motivated by the observation that humans bring to bearwhat they know about related problems when solving new ones. Similarly, deepneural networks can profit from related tasks by sharing parameters with othernetworks. However, humans do not consciously decide to transfer knowledgebetween tasks. In Natural Language Processing (NLP), it is hard to predict ifsharing will lead to improvements, particularly if tasks are only looselyrelated. To overcome this, we introduce Sluice Networks, a general frameworkfor multi-task learning where trainable parameters control the amount ofsharing. Our framework generalizes previous proposals in enabling sharing ofall combinations of subspaces, layers, and skip connections. We performexperiments on three task pairs, and across seven different domains, using datafrom OntoNotes 5.0, and achieve up to 15% average error reductions over commonapproaches to multi-task learning. We show that a) label entropy is predictiveof gains in sluice networks, confirming findings for hard parameter sharing andb) while sluice networks easily fit noise, they are robust across domains inpractice.",Learning what to share between loosely related tasks
4,Chemistry,Chemistry,,,,"We present MILABOT: a deep reinforcement learning chatbot developed by theMontreal Institute for Learning Algorithms (MILA) for the Amazon Alexa Prizecompetition. MILABOT is capable of conversing with humans on popular small talktopics through both speech and text. The system consists of an ensemble ofnatural language generation and retrieval models, including template-basedmodels, bag-of-words models, sequence-to-sequence neural network and latentvariable neural network models. By applying reinforcement learning tocrowdsourced data and real-world user interactions, the system has been trainedto select an appropriate response from the models in its ensemble. The systemhas been evaluated through A/B testing with real-world users, where itperformed significantly better than many competing systems. Due to its machinelearning architecture, the system is likely to improve with additional data.",A Deep Reinforcement Learning Chatbot
5,Chemistry,,Chemistry,,,"We propose a new generative model of sentences that first samples a prototypesentence from the training corpus and then edits it into a new sentence.Compared to traditional models that generate from scratch either left-to-rightor by first sampling a latent sentence vector, our prototype-then-edit modelimproves perplexity on language modeling and generates higher quality outputsaccording to human evaluation. Furthermore, the model gives rise to a latentedit vector that captures interpretable semantics such as sentence similarityand sentence-level analogies.",Generating Sentences by Editing Prototypes
6,Chemistry,,,,Chemistry,"We present MILABOT: a deep reinforcement learning chatbot developed by theMontreal Institute for Learning Algorithms (MILA) for the Amazon Alexa Prizecompetition. MILABOT is capable of conversing with humans on popular small talktopics through both speech and text. The system consists of an ensemble ofnatural language generation and retrieval models, including neural network andtemplate-based models. By applying reinforcement learning to crowdsourced dataand real-world user interactions, the system has been trained to select anappropriate response from the models in its ensemble. The system has beenevaluated through A/B testing with real-world users, where it performedsignificantly better than other systems. The results highlight the potential ofcoupling ensemble systems with deep reinforcement learning as a fruitful pathfor developing real-world, open-domain conversational agents.",A Deep Reinforcement Learning Chatbot (Short Version)
7,DV,DV,,,,"The paper introduces a new method for discrimination of documents given indifferent scripts. The document is mapped into a uniformly coded text ofnumerical values. It is derived from the position of the letters in the textline, based on their typographical characteristics. Each code is considered asa gray level. Accordingly, the coded text determines a 1-D image, on whichtexture analysis by run-length statistics and local binary pattern isperformed. It defines feature vectors representing the script content of thedocument. A modified clustering approach employed on document feature vectorgroups documents written in the same script. Experimentation performed on twocustom oriented databases of historical documents in old Cyrillic, angular andround Glagolitic as well as Antiqua and Fraktur scripts demonstrates thesuperiority of the proposed method with respect to well-known methods in thestate-of-the-art.",Document Image Coding and Clustering for Script Discrimination
8,,,,,,"Together with the development of more accurate methods in Computer Vision andNatural Language Understanding, holistic architectures that answer on questionsabout the content of real-world images have emerged. In this tutorial, we builda neural-based approach to answer questions about images. We base our tutorialon two datasets: (mostly on) DAQUAR, and (a bit on) VQA. With small tweaks themodels that we present here can achieve a competitive performance on bothdatasets, in fact, they are among the best methods that use a combination ofLSTM with a global, full frame CNN representation of an image. We hope thatafter reading this tutorial, the reader will be able to use Deep Learningframeworks, such as Keras and introduced Kraino, to build various architecturesthat will lead to a further performance improvement on this challenging task.",Tutorial on Answering Questions about Images with Deep Learning
9,Chemistry,Chemistry,,,,"Transforming a graphical user interface screenshot created by a designer intocomputer code is a typical task conducted by a developer in order to buildcustomized software, websites, and mobile applications. In this paper, we showthat deep learning methods can be leveraged to train a model end-to-end toautomatically generate code from a single input image with over 77% of accuracyfor three different platforms (i.e. iOS, Android and web-based technologies).",pix2code: Generating Code from a Graphical User Interface Screenshot
