,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,dominant_topic
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.05,0.05,0.05,0.05,0.05,0.05,0.66,0.05,6
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.08,0.08,0.08,0.08,0.45,0.08,0.08,0.08,4
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.07,0.07,0.07,0.52,0.07,0.07,0.07,0.07,3
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.08,0.08,0.08,0.08,0.08,0.44,0.08,0.08,5
0,0.08,0.08,0.08,0.08,0.08,0.08,0.44,0.08,6
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.05,0.05,0.05,0.05,0.64,0.05,0.05,0.05,4
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.67,7
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.07,0.07,0.07,0.07,0.07,0.54,0.07,0.07,5
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.04,0.7,0.04,0.04,0.04,0.04,0.04,0.04,1
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.07,0.07,0.07,0.07,0.07,0.53,0.07,0.07,5
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.04,0.04,0.04,0.72,0.04,0.04,0.04,0.04,3
0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,7
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.55,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.06,0.06,0.06,0.06,0.06,0.58,0.06,0.06,5
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
0,0.08,0.08,0.08,0.08,0.08,0.41,0.08,0.08,5
