,text,label,label_name,text_clean,sentiment,prediction
0,"The product is excellent, but the pricing is very high in comparison to the grocery store.  (I rarely go to the store, so it was convenient, but it's unlikely that I'll buy this product on line again due to the high cost). ",0,chips,"The product excellent, pricing high comparison grocery store. (I rarely go store, convenient, unlikely I'll buy product line due high cost).","The product excellent, pricing high comparison grocery store. (I rarely go store, convenient, unlikely I'll buy product line due high cost).",0
1,"Great to send to our Marines in Afghanistan. Great size to pack, do not crumble while in transit. Marines love them ",0,chips,"Great send Marines Afghanistan. Great size pack, crumble transit. Marines love","Great send Marines Afghanistan. Great size pack, crumble transit. Marines love",0
2,They arrived on time and in good shape. Here in Afghanistan we don't get Chipss so they were a real treat ,0,chips,They arrived time good shape. Here Afghanistan get Chipss real treat,They arrived time good shape. Here Afghanistan get Chipss real treat,0
3,"Pringles are great.  The packs are very small, making the packages handy bit no eco-friendly.  Chipss are arrived largely in tact, but expect some crushed Chipss in each little pack. ",0,chips,"Pringles great. The packs small, making packages handy bit eco-friendly. Chipss arrived largely tact, expect crushed Chipss little pack.","Pringles great. The packs small, making packages handy bit eco-friendly. Chipss arrived largely tact, expect crushed Chipss little pack.",0
4,"We ordered these pringles because we were missing potato Chipss from the U.S. These Pringles made it to Brazil with not a lot o f crumble bits.  I'm very happy with the speedy delivery, flavor, and these Chipss will be long gone before their expiration date is even thought of (October 2010). Thank you Amazon, we will be ordering more Pringles. ",0,chips,"We ordered pringles missing potato Chipss U.S. These Pringles made Brazil lot f crumble bits. I'm happy speedy delivery, flavor, Chipss long gone expiration date even thought (October 2010). Thank Amazon, ordering Pringles.","We ordered pringles missing potato Chipss U.S. These Pringles made Brazil lot f crumble bits. I'm happy speedy delivery, flavor, Chipss long gone expiration date even thought (October 2010). Thank Amazon, ordering Pringles.",0
5,"Yah, got my Pringles and 19 out of the 36 packages were smashed with a broken air seal.  The outer and inner boxes were undamaged. ",0,chips,"Yah, got Pringles 19 36 packages smashed broken air seal. The outer inner boxes undamaged.","Yah, got Pringles 19 36 packages smashed broken air seal. The outer inner boxes undamaged.",0
6,"You can get the exact same thing in a 24 size at walmart.com for 5.47. Just get 3 of those instead and save yourself 15 bucks. Oh, and they let you choose flavors if you do some searching. ",0,chips,"You get exact thing 24 size walmart.com 5.47. Just get 3 instead save 15 bucks. Oh, let choose flavors searching.","You get exact thing 24 size walmart.com 5.47. Just get 3 instead save 15 bucks. Oh, let choose flavors searching.",0
7,"It's a delicious product.  Good for a quick meal or snack on the go, especially if you're a college student. ",0,chips,"It's delicious product. Good quick meal snack go, especially college student.","It's delicious product. Good quick meal snack go, especially college student.",0
8,"Purchased these for a treat in the kids lunch.  After receiving them I was afraid of the condition they would be in since they're fragile Chipss.  To my delight, they were packaged great and not broken!  Great packing and a great product! ",0,chips,"Purchased treat kids lunch. After receiving I afraid condition would since they're fragile Chipss. To delight, packaged great broken! Great packing great product!","Purchased treat kids lunch. After receiving I afraid condition would since they're fragile Chipss. To delight, packaged great broken! Great packing great product!",0
9,I tried to pack these as school snacks for my kids.  They sort of OD'd so they lost interest before the box was finished. ,0,chips,I tried pack school snacks kids. They sort OD'd lost interest box finished.,I tried pack school snacks kids. They sort OD'd lost interest box finished.,0
10,My school kids loved the snack stacks. This was for a fundraiser and it worked well. They were gone very quickly! ,0,chips,My school kids loved snack stacks. This fundraiser worked well. They gone quickly!,My school kids loved snack stacks. This fundraiser worked well. They gone quickly!,0
11,"I just had a baby and am having trouble getting snacks together and food, but I don't have anybody nearby to help.  My sister sent me this, along with a bunch of other snacks, and it was such a good idea.  Easy and delicious! ",0,chips,"I baby trouble getting snacks together food, I anybody nearby help. My sister sent this, along bunch snacks, good idea. Easy delicious!","I baby trouble getting snacks together food, I anybody nearby help. My sister sent this, along bunch snacks, good idea. Easy delicious!",0
12,I was disappointed that the Chipss were pretty crumbled.  Must be too much mishandling in the shipping process.  Will not buy these again. ,0,chips,I disappointed Chipss pretty crumbled. Must much mishandling shipping process. Will buy again.,I disappointed Chipss pretty crumbled. Must much mishandling shipping process. Will buy again.,0
13,The Chipss were broken up in the cups. So never ate a whole Chips. Very salty. I will not buy again. ,0,chips,The Chipss broken cups. So never ate whole Chips. Very salty. I buy again.,The Chipss broken cups. So never ate whole Chips. Very salty. I buy again.,0
