X,Y,Topic
-4.618444,13.696474,2
14.872247,6.2558265,2
0.29874298,-8.973701,9
19.811731,12.223196,3
-6.615719,-5.9721193,4
10.135369,-11.0862,2
17.2121,-2.888968,2
12.333392,-9.99778,1
-11.232534,12.224052,1
-4.88056,-1.9066616,3
-7.6895676,4.557893,6
-3.3872294,3.8918624,6
12.735266,16.25546,1
-2.2512162,19.778925,9
10.618064,2.5957284,6
-15.178673,-18.034332,3
9.34938,1.4553491,5
12.310736,-3.489553,5
6.7764053,18.168282,0
-7.4228377,14.25711,0
18.144768,3.7961948,7
18.4973,1.1357286,7
11.918507,16.668081,1
11.107504,-6.872049,3
-10.99204,-12.050725,7
-10.7155075,-6.088779,7
23.54261,8.305018,1
18.40091,-0.445639,7
24.438038,5.8436604,1
-14.163159,-1.0169795,6
11.046579,-3.9352152,5
-14.999567,-12.620392,9
-2.2182229,17.508244,2
-8.041182,1.3188975,0
6.4119487,10.479247,9
-4.612752,21.520725,5
-16.424229,2.9463682,4
18.509766,6.2327194,0
-20.089495,-7.491569,4
13.170334,-0.73780495,8
-4.57844,-20.548214,0
-5.0256796,-8.805055,6
3.3424845,-7.31387,7
-4.6595736,-19.252304,2
-3.7982862,-1.3884462,9
-10.098809,-4.1126037,4
-15.631298,-14.03589,7
-1.7678927,-5.337927,9
2.8209705,-14.852759,9
-11.351792,-5.4885263,7
-14.36044,11.951461,1
15.273436,-15.534892,6
-16.095242,-11.635364,7
-10.778591,-8.307184,6
21.941216,8.990462,3
6.745096,-10.077865,0
5.512197,16.788155,0
7.963929,3.1229832,8
1.9200102,-16.33474,7
8.119558,10.724109,6
-8.77783,-4.914039,0
0.65353215,15.353795,4
-4.4438734,8.181143,3
15.841559,-8.910136,8
-9.989488,11.798734,8
24.337086,8.02024,5
-3.8216932,-4.2289057,9
0.09434541,-2.705904,8
-8.035293,-16.465324,7
13.451921,13.593818,1
-15.266093,4.134718,7
-14.093475,-18.339804,4
-6.925608,-22.693401,0
-5.0418615,5.7363367,0
-0.32960668,4.967172,6
2.00548,18.291035,0
-3.0134175,7.282052,0
-15.546777,13.202667,1
17.691395,4.9604845,7
-1.3853246,-6.7887506,3
-0.67947423,-5.141922,3
5.771903,-13.002138,5
6.0464606,-19.53835,7
-18.631556,-3.9694319,3
-14.945658,7.7974834,1
6.533596,-7.512308,9
-3.399232,-9.769268,9
-8.727162,-14.554731,4
8.10559,-4.774723,8
-12.935497,-9.826679,6
9.131597,13.678947,2
13.030899,-2.0353405,5
13.476084,11.205513,3
-9.816412,-0.68376446,8
-6.087933,7.8433714,8
14.272082,8.07642,2
5.7234516,1.2634541,4
3.7480018,11.757661,2
-12.6305275,1.7415062,1
-20.82601,-7.723668,4
-18.777006,11.686057,6
10.257069,5.454437,3
0.44549212,0.88038796,0
-5.732111,-1.7182728,3
-14.981683,6.083618,1
2.7656312,5.8947396,9
-16.082134,-6.532439,6
10.428498,-7.196251,2
-16.897114,-1.237797,6
-17.85174,-8.049469,7
1.7308066,13.657265,4
-9.042452,-1.917134,7
-13.398182,-10.05304,6
4.7617497,5.0479493,9
0.07097531,-7.4190073,3
-14.97843,-7.722805,4
11.384565,15.603781,1
-20.312397,-2.4160924,6
14.226846,7.3446336,3
-13.907276,-2.9922318,6
-3.0392334,4.6420116,5
-19.262331,-3.9710603,6
-12.476809,-7.6019583,7
18.861322,8.799382,3
4.409668,1.6577724,4
-0.97001004,-5.907228,9
20.147469,-2.4613967,7
17.851313,-16.438526,6
-22.366087,-5.91386,6
15.305795,7.8547854,3
4.3097086,-15.264506,5
3.9946558,13.842649,0
-6.482837,-19.1196,4
-16.989798,5.125771,3
-10.252749,16.508236,0
-19.358973,-5.2921333,6
-3.709978,-10.025998,8
-9.296554,-1.6060108,8
1.7141228,-13.313709,5
22.642149,7.4463425,1
6.2576914,-2.5307772,4
8.167179,-15.50426,1
-16.61892,2.5389488,6
-1.8302898,-13.433902,5
-6.9456825,6.743705,9
-8.602183,0.29043877,8
2.2199428,18.984655,5
0.7293897,-17.442053,4
-5.4251533,11.333426,9
16.898733,-5.8247023,7
14.524467,-4.9349575,2
-17.626055,-13.024855,7
-11.533744,6.8686676,8
17.199873,-9.432846,5
16.207863,-14.938059,5
-2.2989867,-2.5282068,8
-17.84294,6.9930987,6
-2.2381177,-5.1608458,4
1.6322259,3.042456,6
2.340865,6.335245,3
13.851071,-6.7254767,2
15.831229,15.389454,2
-0.71221113,-14.748351,7
10.349117,16.442163,3
9.049916,-1.1241657,8
-16.535263,-9.61865,6
4.476103,23.407568,5
-4.705233,-21.157381,7
1.044425,-8.76647,3
-18.001278,2.7755969,1
1.9269695,-11.538454,8
-15.531737,-10.702054,7
-15.829686,-1.8393956,7
4.191989,-7.0845733,5
-9.965827,7.9636397,1
9.308412,-14.382739,7
-18.020985,-4.050597,4
6.4822655,-0.49362922,5
-15.457791,0.89857537,0
-5.9771495,-11.227792,6
7.469346,-16.33349,5
-11.987186,-15.402956,6
-7.8015976,9.81187,9
3.5463014,11.785144,2
19.873,11.261725,3
-21.771914,-3.8788655,6
19.49277,-3.072615,7
-10.994566,8.302151,3
10.689908,11.951718,2
19.945177,-14.325917,6
8.3821335,7.7425785,5
-5.1680517,11.149651,8
-14.423911,4.9127636,3
-3.5818377,14.061874,0
12.732494,20.286884,9
6.332399,-9.387953,0
-1.5931805,-12.30669,5
21.172705,1.5447097,7
-2.586294,21.050213,9
6.2093825,17.094652,0
-21.569386,0.7273313,6
10.009553,-15.775609,1
20.76253,-1.8964778,7
-13.317373,-4.963802,7
-2.6926596,11.364385,8
5.89629,-21.466492,1
-7.902002,-11.196935,4
-5.6583133,11.997116,9
0.6473022,10.319899,0
16.449266,-5.301295,2
-18.743563,2.0659342,3
-7.54451,-21.37659,0
5.1345334,-15.796895,5
12.362906,12.895039,1
-6.475882,18.648643,9
16.826565,-11.55995,5
2.9889927,-2.448252,4
-15.120677,-2.0278265,7
-5.260411,2.0047207,9
-10.777516,-0.561982,4
-0.020764064,3.1719642,5
20.564686,3.0429702,7
10.609421,12.457056,2
9.74677,7.7764235,2
-0.064601064,17.637863,5
10.816879,-6.941674,1
-2.2579393,1.9496717,6
12.774594,-18.669832,8
1.5341612,14.791441,4
11.876141,18.610004,1
-7.937005,-21.660278,8
-19.320936,0.44954428,6
9.29171,-11.42749,2
