X,Y,Topic
-1.4701489,-30.901329,Topic6
14.363087,23.60674,Topic2
-30.11436,-7.4812036,Topic7
4.746379,-16.128185,Topic4
5.5670395,-16.767157,Topic4
3.8067782,-14.971076,Topic4
32.38225,0.7145417,Topic5
2.7094226,-13.505242,Topic4
16.459097,23.790113,Topic2
0.03455035,-29.971632,Topic6
0.5147141,5.5786057,Topic8
-21.549973,5.8559737,Topic9
-10.217871,-8.491209,Topic3
14.92677,0.2358694,Topic1
-0.36637887,-30.308279,Topic6
-22.758116,26.744585,Topic10
-21.703083,28.299706,Topic10
-31.374033,-7.769124,Topic7
-0.6502544,-30.380304,Topic6
32.05615,1.303132,Topic5
0.32943386,3.137371,Topic8
-1.2819233,-30.776186,Topic6
-10.091703,-8.356885,Topic3
-31.030178,-7.376792,Topic7
-1.3724627,-30.592373,Topic6
-0.33382136,7.7668405,Topic8
-2.2591743,-30.91406,Topic6
-11.082465,-9.554436,Topic3
0.17365904,3.4512146,Topic8
-8.222705,-5.573061,Topic8
-11.60285,-9.319977,Topic3
3.3022757,-14.415151,Topic4
15.013197,-0.58892506,Topic1
11.757868,21.54576,Topic2
-31.27359,-7.758173,Topic7
31.81005,1.1622334,Topic5
2.4866028,-12.75548,Topic4
15.54415,-0.33162272,Topic1
2.7094636,-13.50559,Topic4
32.056152,1.303134,Topic5
0.2604779,5.095809,Topic8
4.650275,-15.872742,Topic4
15.348752,-0.32101557,Topic1
15.521366,-0.31990525,Topic1
0.17312549,4.1191387,Topic8
-11.438484,-9.882585,Topic3
18.812325,23.88668,Topic2
15.874524,23.7335,Topic2
-2.225213,10.260955,Topic8
-31.413881,-6.9146123,Topic7
-2.735205,-31.347504,Topic6
-2.4472575,10.646323,Topic8
29.365881,2.2808456,Topic5
-20.69096,5.9876513,Topic9
-31.255049,-6.9645543,Topic7
-0.728007,8.275072,Topic8
33.14034,0.9540846,Topic5
17.684614,23.826347,Topic2
32.052612,0.90618724,Topic5
-31.52997,-6.900412,Topic7
-0.1792465,4.794835,Topic8
-30.947506,-7.5060215,Topic7
15.52173,23.71704,Topic2
13.168092,21.063133,Topic2
-20.82472,5.2937117,Topic9
-19.558914,5.521141,Topic9
-3.3643875,-31.721233,Topic6
15.875675,23.733719,Topic2
-21.417076,28.512444,Topic10
0.37638202,6.538789,Topic8
-0.3362834,7.764424,Topic8
13.3196535,21.84425,Topic2
14.754326,23.657305,Topic2
17.359655,23.662956,Topic2
-21.12539,28.468958,Topic10
-21.37518,6.4492564,Topic9
-9.120763,-9.829165,Topic3
17.140764,23.969475,Topic2
32.495407,0.6607632,Topic5
11.988771,21.599401,Topic2
14.981814,-0.80309427,Topic1
-20.91365,28.652971,Topic10
32.87868,0.82306254,Topic5
-11.082414,-9.554286,Topic3
-21.183683,28.398907,Topic10
32.500664,1.4954795,Topic5
15.371842,-1.1856517,Topic1
-21.744183,27.906034,Topic10
-22.987137,24.812689,Topic10
16.459019,23.789143,Topic2
-22.239147,27.867046,Topic10
0.5346789,5.888715,Topic8
-1.852077,9.888217,Topic8
-8.513406,-6.1068244,Topic3
-9.192042,-9.770124,Topic3
33.124233,1.0327903,Topic5
-17.785364,4.983109,Topic9
-2.385289,10.566251,Topic8
-3.5707135,-31.93344,Topic6
-12.703454,-10.6060095,Topic3
0.37625334,6.5391364,Topic8
0.25448212,5.096513,Topic8
-5.707996,-10.24243,Topic4
15.018468,-0.9160515,Topic1
1.3152183,-8.449515,Topic8
15.013189,-0.58895373,Topic1
32.067535,0.96861583,Topic5
-22.238668,27.86849,Topic10
-20.824715,5.2937055,Topic9
-31.064566,-7.207591,Topic7
13.967602,23.54349,Topic2
-0.55576116,8.026941,Topic8
-11.082395,-9.554225,Topic3
-6.5192127,-9.973347,Topic3
3.3014803,-14.415398,Topic4
32.34057,1.4709569,Topic5
-12.859634,-10.844838,Topic3
6.292788,-17.453539,Topic4
-2.2297056,10.038423,Topic8
-2.5743155,-27.487396,Topic6
5.5715475,-16.61399,Topic4
4.650179,-15.872733,Topic4
5.2339745,-16.189028,Topic4
0.24046022,-24.781101,Topic4
13.654876,23.357635,Topic2
15.1834345,-0.41211355,Topic1
-11.606366,-9.317264,Topic3
-19.635643,4.4346447,Topic9
15.18145,-1.1196041,Topic1
-1.3717813,-30.593481,Topic6
-11.260087,-9.748792,Topic3
-12.112344,-9.80056,Topic3
4.746492,-16.12846,Topic4
0.22952193,-24.82457,Topic4
6.0178027,-17.261204,Topic4
5.8895793,-17.189175,Topic4
0.01430331,-25.648169,Topic6
1.3710847,-8.732449,Topic4
-21.743752,27.905153,Topic10
-11.039587,-9.188477,Topic3
2.809315,-13.8374605,Topic4
18.546259,23.90918,Topic2
-22.467665,27.506338,Topic10
-1.1174062,-27.935196,Topic6
-11.038875,-9.192119,Topic3
11.566977,21.48426,Topic9
17.142418,23.971432,Topic2
-0.33415246,7.767126,Topic8
-31.782267,-7.691454,Topic7
-0.93190455,8.521204,Topic8
17.356182,23.665024,Topic2
17.35972,23.662975,Topic2
32.791496,0.67916805,Topic5
17.68459,23.826334,Topic2
32.38231,0.7145178,Topic5
-31.615408,-6.9104576,Topic7
-0.93447185,8.518643,Topic8
-11.258368,-9.3151245,Topic3
-22.017202,27.657597,Topic10
-21.504702,28.272888,Topic10
-22.201008,25.583658,Topic10
-21.797697,6.2033267,Topic9
-0.36878577,-30.303957,Topic6
-1.376617,9.094958,Topic8
-1.852011,9.888047,Topic8
-20.64702,5.870662,Topic9
0.24475938,6.884003,Topic8
-12.552678,-10.541328,Topic3
18.111404,23.86155,Topic2
2.7102199,-13.5048065,Topic4
0.28681117,-29.673347,Topic6
13.654951,23.357712,Topic2
-8.5306225,-6.1304517,Topic3
-1.6510205,-31.018536,Topic6
14.362653,23.606682,Topic2
-10.406918,-8.692417,Topic3
-1.2420137,8.92884,Topic8
0.4887907,6.2101965,Topic8
0.24494915,6.88369,Topic8
13.508419,23.122122,Topic2
15.521446,23.717026,Topic2
14.362828,23.607347,Topic2
15.857477,-0.86528134,Topic1
30.896471,1.8880612,Topic5
-31.22286,-6.985379,Topic7
-0.33651692,7.764342,Topic8
0.5346523,5.8884997,Topic8
-23.003653,25.37742,Topic10
-10.407177,-8.691235,Topic3
-1.2713861,4.3010297,Topic8
4.6490746,-15.872519,Topic4
-0.38179857,-30.279427,Topic6
-22.771109,26.947771,Topic10
0.3762912,6.538956,Topic8
17.684269,23.826147,Topic2
-19.680475,3.4335577,Topic9
-11.438777,-9.882756,Topic3
-12.200979,-9.88603,Topic3
-1.1390346,-27.761984,Topic6
13.969226,23.54286,Topic2
5.0567365,-16.57714,Topic4
4.9537835,-15.931611,Topic4
-0.7217086,8.280771,Topic8
5.0574665,-16.576979,Topic4
-21.015577,6.3194504,Topic9
-21.015612,6.3194675,Topic9
-21.616442,5.895279,Topic9
3.3013704,-14.41528,Topic4
13.973015,23.541214,Topic2
0.74562824,-12.854561,Topic4
0.080629304,7.1855392,Topic8
-2.1977987,-31.31991,Topic6
15.352092,-0.32013938,Topic1
-5.4954805,-10.3158045,Topic4
15.152924,23.69304,Topic2
5.334614,-16.308344,Topic4
0.72857624,-12.843972,Topic4
-22.758106,26.744421,Topic10
16.184175,23.751099,Topic2
31.02202,1.2113985,Topic5
-21.411564,5.5546713,Topic9
13.656565,23.35319,Topic2
13.967704,23.543537,Topic2
17.523514,23.960423,Topic2
17.340618,23.994648,Topic2
-1.4912274,9.257503,Topic8
3.0370388,-14.120073,Topic4
30.34347,4.0391245,Topic5
5.2479563,-16.764526,Topic4
-20.599499,5.725381,Topic9
14.050569,19.722311,Topic2
-20.507269,5.239211,Topic9
-20.936234,6.2583528,Topic9
-31.825659,-7.6684737,Topic7
16.727577,23.777245,Topic2
-2.5458386,-27.544233,Topic6
-31.61872,-7.795344,Topic7
32.625256,1.497826,Topic5
-1.7545394,9.508928,Topic8
3.0369475,-14.11997,Topic4
-12.028526,-10.255519,Topic3
2.7096255,-13.505608,Topic4
-0.3339453,7.7667937,Topic8
16.727709,23.777885,Topic2
-21.411484,5.5545835,Topic9
-6.5808096,-9.9517,Topic3
-1.6484984,-31.020079,Topic6
-22.093609,25.30086,Topic10
-31.27365,-7.7582192,Topic7
-2.4573882,-31.087605,Topic6
-1.9784274,10.122967,Topic8
-22.689756,27.145346,Topic10
-1.6032635,4.202733,Topic8
15.842424,-0.55428195,Topic1
-19.561396,4.3948646,Topic9
3.806641,-14.970937,Topic4
-1.2419268,8.928759,Topic8
-21.87498,27.781858,Topic10
-21.830175,28.231735,Topic10
0.8763028,-12.860648,Topic4
-22.215088,26.153582,Topic10
0.11637956,-25.246643,Topic6
-0.45927554,-30.14772,Topic6
4.954213,-16.45536,Topic4
5.5167317,-16.50107,Topic4
2.2294059,-12.158896,Topic4
1.4762588,-12.887101,Topic4
-6.626742,-9.941879,Topic3
4.0615253,-15.243223,Topic4
1.3094798,-8.412286,Topic8
-11.606273,-9.317188,Topic3
-20.60316,28.812561,Topic10
1.5116106,-10.696593,Topic4
-1.0008208,4.422516,Topic8
-12.017546,-9.697901,Topic3
33.054752,1.2873675,Topic5
5.370277,-16.812695,Topic4
0.5346305,5.8886366,Topic8
-20.50181,28.891634,Topic10
-22.123037,28.034626,Topic10
2.7102687,-13.505261,Topic4
-2.4073584,10.580294,Topic8
29.171394,2.3411636,Topic8
-10.407027,-8.692522,Topic3
1.5628172,3.883925,Topic8
30.818783,1.9762087,Topic5
3.8067658,-14.9710655,Topic4
-22.473265,27.513256,Topic10
5.3356113,-16.30765,Topic4
5.5802236,-16.865294,Topic4
-19.303387,4.2016153,Topic9
-6.3680596,-10.020277,Topic3
0.5107887,5.578065,Topic8
15.262699,1.9066782,Topic2
2.711281,-13.50528,Topic4
1.5036874,-10.684081,Topic4
-20.998432,5.308982,Topic9
2.4774961,-12.441979,Topic4
0.2695715,-24.67267,Topic4
-0.6503269,-30.380304,Topic6
32.62112,0.64662087,Topic5
-12.278879,-10.115706,Topic3
-1.7113854,9.531648,Topic8
15.521616,23.717031,Topic2
-3.5189097,-31.895569,Topic6
-21.874325,27.781328,Topic10
-0.8914874,-30.49298,Topic6
0.5108097,5.578074,Topic8
-22.467525,27.506668,Topic10
31.809988,1.1622751,Topic5
-11.587802,-9.982457,Topic3
-20.586456,5.3403454,Topic9
-22.472977,27.513466,Topic10
-21.465559,5.6240363,Topic9
-2.7853606,-31.397018,Topic6
32.90356,0.68770814,Topic5
-11.295072,-9.276017,Topic3
-20.904839,25.497217,Topic10
13.967505,23.543488,Topic2
-2.199563,-31.317457,Topic6
-0.115176216,7.4596095,Topic8
15.857508,-0.86515284,Topic1
-22.771114,26.947779,Topic10
-2.7853334,-31.396994,Topic6
-31.273575,-7.7581654,Topic7
-0.9316057,8.52103,Topic8
-20.998333,5.3089914,Topic9
32.22622,0.8124472,Topic5
-22.628986,26.406342,Topic10
-3.373039,-31.735874,Topic6
-31.960072,-7.438699,Topic7
-21.507607,5.711618,Topic9
-12.025373,-10.258435,Topic3
0.2553965,5.096649,Topic8
3.8054347,-14.970793,Topic4
16.182867,23.751137,Topic2
-10.405837,-8.693294,Topic3
32.056313,1.3033634,Topic5
-31.905798,-7.5555906,Topic7
-20.39029,29.003853,Topic10
3.5521417,-14.696512,Topic4
14.9965725,-0.6354778,Topic1
2.8080144,-13.836919,Topic4
29.59403,2.2143583,Topic5
-11.920236,-9.580542,Topic3
-2.2504604,-30.934011,Topic6
-20.745676,28.709726,Topic10
-12.809908,-10.80397,Topic3
-1.9843068,-30.754337,Topic6
-21.481382,28.421278,Topic10
15.842386,-0.5541645,Topic1
-30.540707,-7.4564104,Topic7
-31.834715,-7.017314,Topic7
15.842754,-0.5552553,Topic1
14.260279,21.552898,Topic2
-9.000931,-8.5394335,Topic3
29.651535,0.87970495,Topic5
14.257411,21.477274,Topic2
32.85,1.4492698,Topic5
32.54581,1.4995254,Topic5
4.2338247,-10.981032,Topic4
-20.445127,4.3105683,Topic9
0.5088958,-27.906858,Topic6
4.0411463,-11.17848,Topic4
-0.14257902,-30.124254,Topic6
-0.7213706,8.280854,Topic8
-21.150839,3.1996017,Topic9
30.297422,1.0543121,Topic5
0.16144498,4.064962,Topic8
0.8363762,-29.736294,Topic6
3.8059316,-14.971289,Topic4
-10.091733,-8.356934,Topic3
-31.618652,-7.795365,Topic7
3.0367472,-14.120753,Topic4
13.486216,21.597376,Topic2
0.28692058,-29.673117,Topic6
14.771322,-0.0065973196,Topic1
15.76274,-1.0273519,Topic1
4.485483,-15.665177,Topic4
0.9278396,8.024483,Topic8
15.280437,0.97456557,Topic1
15.11841,-1.0652784,Topic1
-31.273636,-7.758214,Topic7
-1.810804,-30.684248,Topic6
-12.025438,-10.2584715,Topic3
15.842569,-0.5547222,Topic1
-10.405722,-8.693192,Topic3
-0.36560303,-30.310202,Topic6
-8.975461,-8.540413,Topic3
4.301991,-10.898396,Topic4
-21.95531,25.003447,Topic10
3.0894177,-12.530194,Topic4
-31.11108,-7.107566,Topic7
-8.524388,-8.496633,Topic3
31.113657,2.602271,Topic5
0.46725944,-27.980843,Topic6
15.327571,-1.1688458,Topic1
4.4595737,-10.706074,Topic1
0.14389545,-29.022797,Topic6
-20.958738,29.015734,Topic10
-31.969788,-7.4094095,Topic7
15.625231,-1.1693753,Topic1
-20.90679,29.087011,Topic10
-20.406488,29.319174,Topic10
-12.7138815,-10.681778,Topic3
15.781615,20.84848,Topic2
-1.6514249,-31.018753,Topic6
-20.690952,5.9876328,Topic9
-2.1931508,-31.327137,Topic6
-9.892046,-7.688988,Topic3
-1.623438,9.403798,Topic8
-1.620742,-30.5995,Topic6
-11.592377,-9.978211,Topic3
-31.875118,-7.0651693,Topic7
-23.028915,25.9035,Topic10
32.66068,1.4966463,Topic5
-31.064524,-7.207736,Topic7
-20.255646,29.38458,Topic10
-0.9346715,8.518881,Topic8
1.5720057,3.894394,Topic8
15.657833,-1.1245154,Topic1
-1.9724411,9.661722,Topic8
-2.1270056,-30.851372,Topic6
32.95885,1.3660493,Topic5
1.3457237,5.731363,Topic8
-2.2987173,10.210806,Topic8
-0.11408853,7.463815,Topic8
3.3014762,-14.415396,Topic4
-1.1160233,-27.92898,Topic6
-2.164993,9.897037,Topic8
-1.6207132,9.405847,Topic8
15.050782,-0.98583776,Topic1
-31.909512,-7.105049,Topic7
-2.5791805,11.01599,Topic8
29.75212,2.1623573,Topic5
-1.5089382,4.2473254,Topic8
13.65577,23.356546,Topic2
13.655106,23.357883,Topic2
-1.123221,-30.551798,Topic6
-8.333043,-5.797666,Topic8
-31.530018,-6.9004145,Topic7
-2.5423324,-31.1627,Topic6
15.521458,23.717026,Topic2
1.3390592,-8.549704,Topic4
19.11215,24.017246,Topic2
30.279121,4.1871996,Topic2
-3.6165915,-31.92082,Topic6
16.954893,23.668499,Topic2
4.6498165,-15.872745,Topic4
-3.4971616,-31.835884,Topic6
-21.507643,5.7117996,Topic9
19.283585,24.025555,Topic2
19.154835,23.962395,Topic2
6.238807,-17.434193,Topic4
-2.9647563,-31.507437,Topic6
18.021051,23.853525,Topic2
14.070424,19.899593,Topic2
33.002285,1.3272429,Topic5
-21.048567,28.8892,Topic10
14.083696,20.039122,Topic2
-12.497206,-10.347155,Topic3
-17.873747,4.993755,Topic9
15.781552,20.815536,Topic2
-21.204014,6.396592,Topic9
31.435839,1.343817,Topic5
-20.599514,5.725246,Topic9
6.311034,-17.479939,Topic4
-21.802462,6.2131634,Topic9
18.924515,23.859148,Topic2
15.645062,-0.36717862,Topic1
-20.578188,29.345322,Topic10
-20.93749,25.556519,Topic10
13.331616,21.95688,Topic2
32.757515,0.6645872,Topic5
-20.353792,29.27608,Topic10
-20.919558,25.536577,Topic10
-21.314066,5.526359,Topic9
-0.12040173,7.456725,Topic8
-1.4934882,9.256819,Topic8
-22.125637,28.036316,Topic10
16.45921,23.790148,Topic2
-20.599518,5.725263,Topic9
-2.3521595,10.38211,Topic8
-20.938631,6.25771,Topic9
0.034493126,-29.971704,Topic6
14.007582,19.590372,Topic10
18.549143,23.90786,Topic2
-11.602599,-9.319771,Topic3
-20.829004,29.161644,Topic10
18.970516,24.026714,Topic2
-21.32371,6.4400673,Topic9
31.862051,1.9641906,Topic5
-21.664465,6.4343343,Topic9
19.084988,23.930532,Topic2
30.751717,0.80864316,Topic5
6.1669674,-17.394978,Topic4
-10.635698,-7.0742803,Topic3
19.19632,23.982155,Topic2
-21.168896,3.1350696,Topic9
4.061533,-15.243231,Topic4
15.6297455,-1.2084652,Topic1
19.490644,24.133509,Topic2
-13.013346,-10.984019,Topic3
6.466274,-17.59861,Topic4
33.196293,0.92040026,Topic5
-3.7102344,-32.03129,Topic6
-31.987158,-7.278836,Topic7
-2.619508,11.112143,Topic8
-21.720465,6.5497713,Topic9
-20.141775,29.588655,Topic10
